batch_id,paper_id,title,relevance_score,reason,tags
batch_00181,article-34597,LLM+AL: Bridging Large Language Models and Action Languages for Complex Reasoning About Actions,5,"Bridges LLMs with symbolic action languages for complex reasoning, directly matching neuro-symbolic & structured reasoning themes.",FORMAL_METHODS;SYMBOLIC_EXEC;PROGRAM_REASONING
batch_00069,article-32046,Counterexample Guided Program Repair Using Zero-Shot Learning and MaxSAT-based Fault Localization,5,"Combines LLMs with formal methods (MaxSAT fault localization) for program repair, following a CEGIS loop.",FORMAL_METHODS;VERIFICATION;PROGRAM_REASONING
batch_00336,article-32007,VerilogCoder: Autonomous Verilog Coding Agents with Graph-based Planning and Abstract Syntax Tree (AST)-based Waveform Tracing Tool,5,"Autonomous AI agents for Verilog code generation, debugging, and verification using AST-based tools.",AGENTS;TOOL_USE;PROGRAM_REASONING;VERIFICATION
batch_00276,article-31979,SQLFixAgent: Towards Semantic-Accurate Text-to-SQL Parsing via Consistency-Enhanced Multi-Agent Collaboration,5,"Multi-agent LLM framework for detecting/repairing semantic SQL errors, directly addressing code reliability & correctness.",AGENTS;TOOL_USE;RELIABILITY
batch_00245,article-34855,Planning in the Dark: LLM-Symbolic Planning Pipeline Without Experts,4,"Automated LLM-symbolic planning pipeline for NL specs; addresses ambiguity, validates schemas without expert input.",FORMAL_METHODS;AMBIGUITY;SYMBOLIC_EXEC
batch_00334,article-34604,VERSE: Verification-based Self-Play for Code Instructions,4,Verification-based self-play for Code LLMs ensures functional correctness of generated code.,RELIABILITY;VERIFICATION
batch_00113,article-34198,Enhancing SQL Query Generation with Neurosymbolic Reasoning,4,"Neurosymbolic SQL generation with symbolic reasoning, backtracking, and early query checking for correctness.",FORMAL_METHODS;SYMBOLIC_EXEC;RELIABILITY
batch_00264,article-33777,Relational Neurosymbolic Markov Models,4,"Neurosymbolic AI with logical constraints for sequential models, directly aligns with hybrid neuro-symbolic approaches for reliability.",FORMAL_METHODS;OTHER
batch_00233,article-33227,Online Prompt Selection for Program Synthesis,4,"Online selection of LLMs, prompts, and symbolic solvers for program synthesis to optimize correctness and cost.",RELIABILITY;TOOL_USE;PROGRAM_REASONING
batch_00301,article-32117,Symbolic Functional Decomposition: A Reconfiguration Approach,4,"Presents a symbolic framework using OBDDs and circuits for functional decomposition, aligning with formal methods and program analysis.",FORMAL_METHODS;SYMBOLIC_EXEC
batch_00125,article-35469,FIND: A Framework for Discovering Formulas in Data,3,"Proposes a neuro-symbolic framework for formula discovery, aligning with hybrid reasoning for scientific laws.",OTHER
batch_00028,article-35403,Are Expressive Models Truly Necessary for Offline RL?,3,Offline RL as sequential modeling for long-horizon tasks; relates to structured reasoning over trajectories.,OTHER
batch_00305,article-35374,TRACE-CS: A Synergistic Approach to Explainable Course Scheduling Using LLMs and Logic,3,Hybrid LLM + symbolic (SAT) reasoning for correctness-guaranteed agents on a structured problem.,FORMAL_METHODS;TOOL_USE
batch_00225,article-35349,Neurosymbolic Reinforcement Learning: Playing MiniHack with Probabilistic Logic Shields,3,Neurosymbolic RL with probabilistic logic shields for safety; connects symbolic reasoning to agent policies.,NEUROSYMBOLIC;AGENTS;FORMAL_METHODS
batch_00102,article-35316,ERFSL: An Efficient Reward Function Searcher via Large Language Models for Custom-Environment Multi-Objective Reinforcement Learning (Student Abstract),3,"LLM generates and optimizes reward functions for RL, aligning with neuro-symbolic workflow design for custom tasks.",OTHER;WORKFLOW_STATS
batch_00288,article-35306,Sequential Order Adjustment of Action Decisions for Multi-Agent Transformer (Student Abstract),3,"Proposes a Transformer-based agent architecture for sequential decision-making, relevant to multi-agent reasoning workflows.",AGENTS;OTHER
