batch_id,paper_id,title,relevance_score,reason,tags
batch_00578,zhFEO67s5w,Co-PatcheR: Collaborative Software Patching with Component-specific Small Reasoning Models,5,"LLM-based multi-agent system for program repair, with specialized models for localization, generation, and validation.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00494,rDqZjKIeda,Can Dependencies Induced by LLM-Agent Workflows Be Trusted?,5,LLM-agent workflow reliability with dynamic consistency checks and recursive reasoning for code tasks.,AGENTS;RELIABILITY;WORKFLOW_STATS
batch_00460,ne3nYEcGsf,Diff-ICMH: Harmonizing Machine and Human Vision in Image Compression with Generative Prior,5,"LLM agent that self-generates code tasks and uses a code executor for verifiable feedback, improving reasoning without human data.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00432,kXieirlPjF,Agentic RL Scaling Law: Spontaneous Code Execution for Mathematical Problem Solving,5,"RL trains LLMs to spontaneously generate and execute code for math problems, directly aligning with tool-using agents for code correctness.",AGENTS;TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00420,jAsr5GHt3P,Wider or Deeper? Scaling LLM Inference-Time Compute with Adaptive Branching Tree Search,5,"AB-MCTS uses feedback-guided tree search for code generation, directly matching our focus on LLM reasoning and reliability for programming.",AGENTS;TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00389,fxDCgOruk0,APOLLO: Automated LLM and Lean Collaboration for Advanced Formal Reasoning,5,"LLM agent (APOLLO) for formal theorem proving in Lean, using compiler-guided repair and sub-lemma isolation to improve correctness.",AGENTS;TOOL_USE;FORMAL_METHODS;VERIFICATION;RELIABILITY
batch_00244,QfKpJ00t2L,Grammars of Formal Uncertainty: When to Trust LLMs in Automated Reasoning Tasks,5,"Uses SMT-based autoformalization & selective verification for LLM-generated formal artifacts, directly matching formal methods + reliability themes.",FORMAL_METHODS;VERIFICATION;RELIABILITY;CONSENSUS
batch_00180,JcEqp4aPmb,InfinityStar: Uniﬁed Spacetime AutoRegressive Modeling for Visual Generation,5,"Direct hit on LLM agents for code: adversarial self-play to evolve a critic for evaluating reasoning steps, improving correctness.",AGENTS;RELIABILITY;PROGRAM_REASONING
batch_00171,IbOacMF5qd,CLEVER: A Curated Benchmark for Formally Verified Code Generation,5,Direct hit on formal verification + LLMs for code generation. CLEVER benchmark for end-to-end verified code.,FORMAL_METHODS;VERIFICATION
batch_00118,Cl45XdnCoK,SpecMAS: A Multi-Agent System for Self-Verifying System Generation via Formal Model Checking,5,"Multi-agent LLM system for formal verification, generates & corrects models via temporal logic model checking.",AGENTS;FORMAL_METHODS;VERIFICATION
batch_00113,CAB0EjD9EK,CodeCrash: Exposing LLM Fragility to Misleading Natural Language in Code Reasoning,5,"Directly studies LLM reliability for code reasoning under misleading NL specs, aligns with our focus on robustness and ambiguity.",RELIABILITY;AMBIGUITY
batch_00094,9yusqX9DpR,Self-Challenging Language Model Agents,5,"LLM agent framework for code-as-task generation, verification, and self-improvement via RL.",AGENTS;TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00059,63ljkCGMhE,VGGT-SLAM: Dense RGB SLAM Optimized on the SL(4) Manifold,5,"Directly addresses scaling training data for software engineering agents, creating a large dataset for code repair tasks.",AGENTS;SOFTWARE_ENGINEERING;RELIABILITY
batch_00039,3nza35A6I4,Training Language Models to Generate Quality Code with Program Analysis Feedback,5,"Uses program analysis (static analysis + unit tests) for RL-based LLM code generation, directly targeting code quality and reliability.",RELIABILITY;VERIFICATION
batch_00566,yTFJmGFsEy,Reviving DSP for Advanced Theorem Proving in the Era of Reasoning Models,4,Neuro-symbolic theorem proving framework (LLMs + symbolic provers) for program reasoning and verification.,FORMAL_METHODS;SYMBOLIC_EXEC;VERIFICATION;OTHER
batch_00566,yRxXTdElLv,SWE-SQL: Illuminating LLM Pathways to Solve User SQL Issues in Real-World Applications,4,"LLM agent for SQL debugging with tool use, formal verification (SQL-Rewind), and training improvements for code correctness.",AGENTS;TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00546,wPdBe9zxNr,CURE: Co-Evolving Coders and Unit Testers via Reinforcement Learning,4,RL framework co-evolving code and test generation; improves test-time scaling and agentic testing for code correctness.,RELIABILITY;PROGRAM_REASONING
batch_00518,tY8ctrD4W2,Compiler-R1: Towards Agentic Compiler Auto-tuning with Reinforcement Learning,4,"Reinforcement Learning agent for compiler auto-tuning, directly applies LLM reasoning to code optimization.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00485,qF5IrJfJDS,Scaling Epidemic Inference on Contact Networks: Theory and Algorithms,4,"Theoretical analysis of transformers learning multi-step reasoning via chain-of-thought, including symbolic path-finding tasks with generalization guarantees.",PROGRAM_REASONING;OTHER
batch_00484,qBPb7g1SEa,Let a Neural Network be Your Invariant,4,Neural inductive invariants for safety verification of systems; connects formal methods (verification) with neural networks.,FORMAL_METHODS;VERIFICATION
batch_00476,pIsP4lMlFd,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,4,"Benchmarks AI agents on real-world code vulnerabilities (detect/exploit/patch), directly relevant to LLM agents for code and reliability.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00467,oLGtPYdRzU,Attractive Metadata Attack: Inducing LLM Agents to Invoke Malicious Tools,4,"Studies LLM agent security via tool metadata manipulation, directly relevant to reliability of tool-using code agents.",AGENTS;TOOL_USE;RELIABILITY
batch_00446,ly5DnRIgCZ,QiMeng-CodeV-R1: Reasoning-Enhanced Verilog Generation,4,RL with verifiable reward for Verilog code generation; uses equivalence checking for reliability.,RELIABILITY;VERIFICATION
batch_00431,kRZVz1qEqa,Teaching Language Models to Reason with Tools,4,"Teaches LLMs to reason with code interpreters (tools) for math, directly addressing tool-using agents for reasoning tasks.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00418,isATAFP71B,SE-Agent: Self-Evolution Trajectory Optimization in Multi-Step Reasoning with LLM-Based Agents,4,LLM agent for code repair on SWE-bench; self-evolution optimizes reasoning trajectory for program debugging.,AGENTS;TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00388,ft971e7HH5,IneqSearch: Hybrid Reasoning for Olympiad Inequality Proofs,4,"Hybrid neuro-symbolic LLM agent for theorem proving, combining symbolic solver with LLM-based reasoning for structured proof search.",AGENTS;PROGRAM_REASONING;OTHER
batch_00380,f3sZjkQbv2,ReasonFlux-PRM: Trajectory-Aware PRMs for Long Chain-of-Thought Reasoning in LLMs,4,Process Reward Model for LLM reasoning trajectories; improves code correctness via step-level supervision and selection.,RELIABILITY;CONSENSUS
batch_00375,eLHIERUitQ,FAME: Adaptive Functional Attention with Expert Routing for Function-on-Function Regression,4,Tool use RL for LLMs; systematic reward design for robust tool selection/application.,AGENTS;TOOL_USE;RELIABILITY
batch_00370,dye9w8IOV0,Collaborative Reasoner: Self-Improving Social Agents with Synthetic Conversations,4,"LLM agents for collaborative reasoning on coding tasks, with multi-turn conversation for correctness.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00337,aSfBbhUJAa,RepoMaster: Autonomous Exploration and Understanding of GitHub Repositories for Complex Task Solving,4,Autonomous agent for exploring and reusing GitHub repositories to solve complex programming tasks.,AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00335,aEAbRPXV37,Majority of the Bests: Improving Best-of-N via Bootstrapping,4,"Novel consensus mechanism (MoB) for LLM output selection, directly improves code reliability via bootstrapping",RELIABILITY;CONSENSUS
batch_00312,XdwPWKbxd9,RvLLM: LLM Runtime Verification with Domain Knowledge,4,Runtime verification framework (RvLLM) for LLMs using domain-specific constraints to ensure output correctness.,VERIFICATION;RELIABILITY
batch_00308,XBMjXb6f4w,CTRL-ALT-DECEIT Sabotage Evaluations for Automated AI R&D,4,"Studies AI agents sabotaging ML code tasks, directly relevant to reliability of code-generating agents.",AGENTS;RELIABILITY;PROGRAM_REASONING
batch_00303,WdL3O58gde,Self-Generated In-Context Examples Improve LLM Agents for Sequential Decision-Making Tasks,4,"LLM agent self-improvement via self-generated trajectories for sequential tasks, directly relevant to agent reliability.",AGENTS;RELIABILITY;TOOL_USE
batch_00295,VkicTqszOn,Distilling LLM Agent into Small Models with Retrieval and Code Tools,4,"Distills LLM agents with code tools for code reasoning tasks, directly matching our focus on agents for code.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00293,VaC4sa96EI,Towards Reliable Code-as-Policies: A Neuro-Symbolic Framework for Embodied Task Planning,4,"Neuro-symbolic framework for LLM code-as-policies with verification, improving reliability for embodied task planning.",AGENTS;TOOL_USE;RELIABILITY;FORMAL_METHODS
batch_00255,Rdz6ESQYkK,GraphChain: Large Language Models for Large-scale Graph Analysis via Tool Chaining,4,"LLM agents (GraphChain) for large-scale graph analysis via tool chaining, directly relevant to tool-using agents for structured reasoning.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00244,Qh458ZamHm,Synthesizing Performance Constraints for Evaluating and Improving Code Efficiency,4,"Generates performance-stressing tests via constraint synthesis for LLM code optimization, aligning with reliability and program analysis.",RELIABILITY;OTHER
batch_00243,QXEhBMNrCW,Group-in-Group Policy Optimization for LLM Agent Training,4,Novel RL algorithm for fine-grained credit assignment in multi-turn LLM agents for code/tool-use tasks.,AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00242,QQhQIqons0,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,4,"Benchmarks LLM agents on real-world software security tasks (PoC generation, patching), directly relevant to code reliability.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00229,Ox3U97Svtl,MPS-Prover: Advancing Stepwise Theorem Proving by Multi-Perspective Search and Data Curation,4,LLM-based theorem prover using structured search for formal reasoning; aligns with formal methods + LLMs.,FORMAL_METHODS;PROGRAM_REASONING
batch_00221,NzPwDutzz8,rStar-Coder: Scaling Competitive Code Reasoning with a Large-Scale Verified Dataset,4,"Creates a large-scale verified dataset for rigorous code reasoning & test-case validation, directly improving LLM code correctness.",RELIABILITY;PROGRAM_REASONING
batch_00217,NUDaln2vCe,BREAD: Branched Rollouts from Expert Anchors Bridge SFT & RL for Reasoning,4,"Proposes RL method with expert-guided rollouts to improve small LLM reasoning, directly addressing reliability for code-like tasks.",RELIABILITY;WORKFLOW_STATS;OTHER
batch_00209,MjJyAvQaxp,,4,"Autoformalization using LLMs to translate math to Lean 4, directly linking LLMs to formal verification.",FORMAL_METHODS;VERIFICATION
batch_00204,MLprqOvAAK,Teaching Transformers to Solve Combinatorial Problems through Efficient Trial & Error,4,LLM with explicit DFS for Sudoku/SAT; neuro-symbolic reasoning via backtracking & guessing.,FORMAL_METHODS;SYMBOLIC_EXEC;PROGRAM_REASONING
batch_00191,KtaHv0YUyh,miniF2F-Lean Revisited: Reviewing Limitations and Charting a Path Forward,4,"Analyzes LLM pipeline for formal theorem proving (autoformalization + verification), directly relevant to formal methods + LLMs.",FORMAL_METHODS;VERIFICATION
batch_00178,JRkFZl0TJ2,RL Tango: Reinforcing Generator and Verifier Together for Language Reasoning,4,RL co-training of LLM generator and verifier for reasoning; directly addresses reliability via process-level verification.,RELIABILITY;PROGRAM_REASONING
batch_00169,IQ513IX1G5,Beyond Oracle: Verifier-Supervision for Instruction Hierarchy in Reasoning and Instruction-Tuned LLMs,4,"Introduces verifier-supervision for reasoning LLMs, using programmatic checkers to improve correctness and reliability.",VERIFICATION;RELIABILITY;PROGRAM_REASONING
batch_00168,IKVkpjSJzJ,EnCompass: Enhancing Agent Programming with Search Over Program Execution Paths,4,Introduces programming model for LLM agent workflows with inference-time search strategies to improve reliability.,AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00166,IDSTtDw4Cs,SiriuS: Self-improving Multi-agent Systems via Bootstrapped Reasoning,4,"Self-improving multi-agent LLM system that bootstraps reasoning trajectories, directly relevant to LLM agents for reasoning.",AGENTS;PROGRAM_REASONING
batch_00165,IA9RmaP0aw,Evaluating Program Semantics Reasoning with Type Inference in System $F$,4,"Evaluates LLM reasoning on program semantics via type inference in System F, directly assessing semantic understanding.",PROGRAM_REASONING;VERIFICATION
batch_00164,I5qDL315bQ,GSO: Challenging Software Optimization Tasks for Evaluating SWE-Agents,4,"Benchmark for evaluating LLM-based agents on software optimization tasks, directly assessing code performance improvement.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00154,Gp2vgxWROE,Rethinking Verification for LLM Code Generation: From Generation to Testing,4,Systematic method for improving test-case generation to rigorously evaluate LLM-generated code correctness.,RELIABILITY;OTHER
batch_00153,Gf4oPoluAV,TAI3: Testing Agent Integrity in Interpreting User Intent,4,"Tests LLM agent integrity for API-calling, addresses ambiguity in NL specs for programming tasks",AGENTS;TOOL_USE;PROGRAM_REASONING;AMBIGUITY
batch_00120,D1PeGJtVEu,ExPO: Unlocking Hard Reasoning with Self-Explanation-Guided Reinforcement Learning,4,"RL for LLM reasoning with verifiable reward and bootstrapping, improving correctness on hard tasks like MATH.",RELIABILITY;WORKFLOW_STATS
batch_00101,At8OUlyTOu,Afterburner: Reinforcement Learning Facilitates Self-Improving Code Efficiency Optimization,4,LLM-based iterative code refinement using RL and execution feedback to improve code efficiency.,RELIABILITY;OTHER
batch_00079,8LMwwt8E2s,Probabilistic Token Alignment for Large Language Model Fusion,4,"LLM agents for robotic planning, connects procedural knowledge graphs to code-like action sequences for complex tasks.",AGENTS;PROGRAM_REASONING
batch_00062,6Mah2bx7ZI,Logic.py: Bridging the Gap between LLMs and Constraint Solvers,4,"LLM formalizes problems into DSL for constraint solvers, strong FORMAL_METHODS+LLMs signal for program-like reasoning.",FORMAL_METHODS;OTHER
batch_00054,5W5mFU4oMO,MLE-Dojo: Interactive Environments for Empowering LLM Agents in Machine Learning Engineering,4,LLM agents for iterative ML engineering workflows including code debugging and refinement,AGENTS;TOOL_USE;PROGRAM_REASONING
