batch_id,paper_id,title,relevance_score,reason,tags
batch_00234,dWsdJAXjQD,ImProver: Agent-Based Automated Proof Optimization,5,"LLM agent for automated proof optimization in Lean, uses symbolic reasoning and formal verification.",AGENTS;TOOL_USE;PROGRAM_REASONING;FORMAL_METHODS;SYMBOLIC_EXEC;VERIFICATION
batch_00227,cRnCcuLvyr,CViT: Continuous Vision Transformer for Operator Learning,5,Uses code verification and execution feedback to improve LLM instruction-following for correctness.,RELIABILITY;PROGRAM_REASONING
batch_00226,cKlzKs3Nnb,Diversity Empowers Intelligence: Integrating Expertise of Software Engineering Agents,5,"LLM agent framework for software engineering, directly improves code task success via multi-agent consensus.",AGENTS;PROGRAM_REASONING;CONSENSUS
batch_00212,ZsP3YbYeE9,Enhancing Language Model Agents using Diversity of Thoughts,5,"LLM agent framework (DoT) for code generation, reduces redundant reflections, improves pass@1 on programming benchmarks.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00188,V5ns6uvRZ9,Robustness Auditing for Linear Regression: To Singularity and Beyond,5,"Directly benchmarks LLM-based agent security, including prompt injection and tool-use vulnerabilities, aligning with reliability for code agents.",AGENTS;RELIABILITY
batch_00186,Uo4EHT4ZZ8,LeanAgent: Lifelong Learning for Formal Theorem Proving,5,"LLM-based agent for formal theorem proving, uses structured reasoning (proofs) and lifelong learning for code/verification.",AGENTS;FORMAL_METHODS;PROGRAM_REASONING
batch_00165,R2834dhBlo,Neural Interactive Proofs,5,Neural interactive proofs for code validation with LLMs; directly combines formal verification (prover-verifier games) with code tasks.,FORMAL_METHODS;VERIFICATION;PROGRAM_REASONING
batch_00147,OJd3ayDDoF,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,5,Infrastructure for AI agents that write code and solve software engineering tasks (SWE-Bench). Directly aligns with LLM-based agents for code.,AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00127,Kvdh12wGC0,Agent Skill Acquisition for Large Language Models via CycleQD,5,Method for LLM skill acquisition improves agent performance on coding tasks in AgentBench.,AGENTS;PROGRAM_REASONING
batch_00117,JAMxRSXLFz,Active Task Disambiguation with LLMs,5,"Directly addresses ambiguity in NL specs for tasks, proposing active disambiguation via LLMs to improve correctness.",AMBIGUITY;OTHER
batch_00110,I4YAIwrsXa,DeepSeek-Prover-V1.5: Harnessing Proof Assistant Feedback for Reinforcement Learning and Monte-Carlo Tree Search,5,"LLM agents for formal theorem proving using Lean proof assistant feedback, RL, and MCTS for proof search.",AGENTS;TOOL_USE;FORMAL_METHODS;PROGRAM_REASONING
batch_00100,G7sIFXugTX,SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement,5,LLM software agent using MCTS for iterative refinement and self-improvement on code tasks (SWE-bench).,AGENTS;TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00070,BAglD6NGy0,ROUTE: Robust Multitask Tuning and Collaboration for Text-to-SQL,5,"Text-to-SQL via multitask tuning & agent collaboration to reduce hallucinations, directly improving code generation reliability.",AGENTS;RELIABILITY;PROGRAM_REASONING
batch_00059,9LdJDU7E91,IRIS: LLM-Assisted Static Analysis for Detecting Security Vulnerabilities,5,Neuro-symbolic approach combining LLMs with static analysis for security vulnerability detection (program reasoning).,NEURO_SYMBOLIC;PROGRAM_REASONING;VERIFICATION
batch_00028,4R71pdPBZp,Self-Evolving Multi-Agent Collaboration Networks for Software Development,5,"Self-evolving LLM multi-agent system for software development, directly addressing code generation and correctness from requirements.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00027,4O0v4s3IzY,On the self-verification limitations of large language models on reasoning and planning tasks,5,Directly studies LLM self-verification for reasoning/planning; shows external verification boosts code-like task correctness.,RELIABILITY;VERIFICATION
